All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Unicycler_longread  Flye     Raven    Canu   
# misassemblies              48                  48       49       48     
  # contig misassemblies     48                  48       49       48     
    # c. relocations         46                  46       47       46     
    # c. translocations      0                   0        0        0      
    # c. inversions          2                   2        2        2      
  # scaffold misassemblies   0                   0        0        0      
    # s. relocations         0                   0        0        0      
    # s. translocations      0                   0        0        0      
    # s. inversions          0                   0        0        0      
# misassembled contigs       1                   1        1        1      
Misassembled contigs length  5300332             5279070  5293344  5330918
# local misassemblies        58                  54       59       56     
# scaffold gap ext. mis.     0                   0        0        0      
# scaffold gap loc. mis.     0                   0        0        0      
# unaligned mis. contigs     1                   1        1        1      
# mismatches                 40082               43671    39343    37721  
# indels                     23874               14212    21490    31679  
    # indels (<= 5 bp)       23689               14135    21358    31533  
    # indels (> 5 bp)        185                 77       132      146    
Indels length                36109               16820    30069    39924  
